scene_title,scene_description,historical_period,event_year,difficulty,question_order,question_text,explanation,answer_1,answer_1_correct,answer_2,answer_2_correct,answer_3,answer_3_correct,answer_4,answer_4_correct,panorama_filename
"Жизнь в древнем Египте","Поля Нила, пирамиды и рабочие собирают урожай","Древний мир","2500 до н.э.","easy",1,"Какая река была главной в Египте?","Нил питал земли Древнего Египта.","Нил",true,"Тигр",false,"Евфрат",false,"Амазонка",false,egypt_nile.jpg
"Жизнь в древнем Египте","Поля Нила, пирамиды и рабочие собирают урожай","Древний мир","2500 до н.э.","easy",2,"Как называется большая гробница для фараона?","Пирамида служила гробницей.","Пирамида",true,"Зиккурат",false,"Колизей",false,"Сфинкс",false,egypt_nile.jpg
"Праздник в Вавилоне","Цветные башни и празднующие люди у висячих садов","Древний мир","VI век до н.э.","easy",1,"Как назывались знаменитые сады Вавилона?","Их называли Висячими садами.","Висячие сады",true,"Сады Салон",false,"Сады Сераписа",false,"Сады Храма",false,babylon_gardens.jpg
"Праздник в Вавилоне","Цветные башни и празднующие люди у висячих садов","Древний мир","VI век до н.э.","easy",2,"Кто был царём Вавилона в эпоху Висячих садов?","Навуходоносор II приписывают постройку садов.","Навуходоносор II",true,"Ксеркс",false,"Дарий",false,"Хаммурапи",false,babylon_gardens.jpg
"Пионеры авиации","Первый аэроплан в поле с толпой зевак","Новейшая история","1903","easy",1,"Как назывался первый успешный самолёт братьев Райтов?","Он назывался Райт-Флайер.","Райт-Флайер",true,"Фантом",false,"Спитфайр",false,"Люфтваффе",false,wright_flyer.jpg
"Пионеры авиации","Первый аэроплан в поле с толпой зевак","Новейшая история","1903","easy",2,"Где братья Райт впервые летали?","Они совершили первый полёт в Китти-Хок.","Китти-Хок",true,"Париж",false,"Берлин",false,"Рим",false,wright_flyer.jpg
"Открытие Америки","Парусник плывёт к новому берегу под триколором","Новейшая история","1492","easy",1,"Кто открыл Америку в 1492 году?","Это был Христофор Колумб.","Христофор Колумб",true,"Фернан Магеллан",false,"Васко да Гама",false,"Марко Поло",false,columbus_ship.jpg
"Открытие Америки","Парусник плывёт к новому берегу под триколором","Новейшая история","1492","easy",2,"Из какой страны был Колумб?","Он был из Испании, хотя родился в Генуе.","Испания",true,"Португалия",false,"Англия",false,"Франция",false,columbus_ship.jpg
"Сельская ярмарка XVII века","Ярмарка у деревянной церкви с купцами и ремесленниками","Раннее Новое время","XVII век","easy",1,"Что продавали на ярмарках?","Там продавали ткани, продукты и ремесленные изделия.","Ткани и продукты",true,"Только книги",false,"Только оружие",false,"Только зерно",false,village_fair.jpg
"Сельская ярмарка XVII века","Ярмарка у деревянной церкви с купцами и ремесленниками","Раннее Новое время","XVII век","easy",2,"Где обычно проходили ярмарки?","Они проходили на площадях и возле церквей.","На площадях и возле церквей",true,"Только в закрытых домах",false,"Только на кораблях",false,"Только в лесах",false,village_fair.jpg
